,YEAR,MONTH,Price / kg,Season,Average Temperature (°C),Rainfall (mm),Relative Humidity (%),Pressure (mb),Rice Production (mt),Palay Production (mt),Stockpile (mt),Area (ha),Yield ( / ha in mt),Fertilizer Complete (14-14-14),Inflation Rate (%)
60,1995,1.0,14.46,0,27.03,79.79,79.26,1010,9366.0,9366.0,1497.8,3060.0,3.06,355.0,6.9
61,1995,2.0,14.0,0,27.1,84.4,80.03,1010,9366.0,9366.0,1260.8,3060.0,3.06,355.0,6.9
62,1995,3.0,15.01,0,27.08,150.89,81.68,1009,9366.0,9366.0,1120.1,3060.0,3.06,355.0,6.9
63,1995,4.0,15.44,0,27.46,127.09,81.91,1009,9366.0,9366.0,1253.0,3060.0,3.06,355.0,6.9
64,1995,5.0,16.38,0,27.71,155.89,82.88,1009,9366.0,9366.0,1321.5,3060.0,3.06,355.0,6.9
65,1995,6.0,17.23,1,27.01,278.4,85.96,1008,9366.0,9366.0,1200.4,3060.0,3.06,355.0,6.9
66,1995,7.0,17.68,1,26.59,257.09,85.61,1008,19460.0,19460.0,940.7,5826.0,3.34,355.0,6.9
67,1995,8.0,20.09,1,26.69,228.59,86.34,1008,19460.0,19460.0,703.6,5826.0,3.34,355.0,6.9
68,1995,9.0,20.13,1,26.76,302.79,85.98,1009,19460.0,19460.0,524.4,5826.0,3.34,355.0,6.9
69,1995,10.0,19.58,1,26.77,258.39,86.38,1008,19460.0,19460.0,813.3,5826.0,3.34,355.0,6.9
70,1995,11.0,19.26,1,26.84,270.99,86.39,1008,19460.0,19460.0,1365.1,5826.0,3.34,355.0,6.9
71,1995,12.0,18.52,0,26.53,269.59,85.18,1009,19460.0,19460.0,1578.0,5826.0,3.34,355.0,6.9
76,1996,5.0,19.5,0,27.02,221.89,86.1,1009,12555.0,12555.0,1796.8,3260.0,3.85,315.0,8.3
77,1996,6.0,19.5,0,26.8,263.39,86.0,1009,12555.0,12555.0,1726.7,3260.0,3.85,354.0,8.3
78,1996,7.0,19.5,1,26.98,231.69,85.15,1008,20562.0,20562.0,1602.8,6604.0,3.11,355.0,8.3
79,1996,8.0,19.5,1,26.77,209.89,85.4,1009,20562.0,20562.0,1269.2,6604.0,3.11,355.0,8.3
80,1996,9.0,19.85,1,27.04,199.39,85.31,1008,20562.0,20562.0,1132.2,6604.0,3.11,355.0,8.3
81,1996,10.0,19.6,1,26.85,367.2,85.71,1008,20562.0,20562.0,1327.1,6604.0,3.11,354.0,8.3
82,1996,11.0,18.9,1,26.61,367.89,85.97,1007,20562.0,20562.0,1708.2,6604.0,3.11,388.0,8.3
83,1996,12.0,20.0,0,26.46,174.79,82.04,1008,20562.0,20562.0,1968.6,6604.0,3.11,354.0,8.3
84,1997,1.0,20.0,0,26.12,128.09,81.8,1010,7557.0,7557.0,1793.0,2246.0,3.36,355.0,5.7
85,1997,2.0,22.0,0,26.28,209.09,83.05,1008,7557.0,7557.0,1520.8,2246.0,3.36,355.0,5.7
92,1997,9.0,19.5,1,26.88,166.79,84.2,1011,17912.0,17912.0,1352.6,5940.0,3.02,366.0,5.7
93,1997,10.0,19.6,1,27.11,187.79,83.93,1011,17912.0,17912.0,1410.3,5940.0,3.02,370.0,5.7
94,1997,11.0,20.0,1,27.19,134.9,83.17,1011,17912.0,17912.0,2059.9,5940.0,3.02,376.0,5.7
95,1997,12.0,19.6,0,27.51,70.0,80.17,1010,17912.0,17912.0,2278.1,5940.0,3.02,380.0,5.7
96,1998,1.0,19.4,0,27.55,9.29,78.45,1011,4712.0,4712.0,1979.4,1750.0,2.69,386.0,9.4
101,1998,6.0,23.0,1,27.31,313.0,85.31,1009,4712.0,4712.0,2119.5,1750.0,2.69,405.0,9.4
102,1998,7.0,23.0,1,26.96,280.59,86.0,1009,12516.0,12516.0,1944.9,3883.0,3.22,405.0,9.4
103,1998,8.0,23.8,1,27.15,224.29,84.85,1009,12516.0,12516.0,1723.8,3883.0,3.22,405.0,9.4
104,1998,9.0,22.25,1,27.36,215.39,84.25,1009,12516.0,12516.0,1654.2,3883.0,3.22,424.0,9.4
105,1998,10.0,21.6,1,27.09,337.49,86.4,1008,12516.0,12516.0,1710.7,3883.0,3.22,415.0,9.4
106,1998,11.0,19.5,1,26.79,407.49,86.52,1007,12516.0,12516.0,2071.9,3883.0,3.22,415.0,9.4
107,1998,12.0,20.5,0,26.97,202.89,85.01,1008,12516.0,12516.0,2413.6,3883.0,3.22,415.0,9.4
108,1999,1.0,20.2,0,26.79,227.69,83.94,1007,10809.0,10809.0,2279.3,2902.0,3.72,415.0,6.1
109,1999,2.0,20.5,0,26.95,97.6,80.66,1009,10809.0,10809.0,2144.6,2902.0,3.72,425.0,6.1
110,1999,3.0,21.0,0,26.67,282.19,85.56,1006,10809.0,10809.0,2160.7,2902.0,3.72,425.0,6.1
111,1999,4.0,21.0,0,26.95,311.49,85.41,1008,10809.0,10809.0,2419.8,2902.0,3.72,414.0,6.1
112,1999,5.0,21.0,0,26.71,356.9,85.97,1009,10809.0,10809.0,2710.9,2902.0,3.72,410.0,6.1
113,1999,6.0,21.0,1,26.77,251.09,84.52,1009,10809.0,10809.0,2574.1,2902.0,3.72,423.0,6.1
136,2001,5.0,25.0,0,27.31,205.29,84.55,1008,11159.0,11159.0,2263.3,2707.0,4.12,440.0,5.4
137,2001,6.0,25.0,1,26.91,218.09,85.34,1008,11159.0,11159.0,2248.0,2707.0,4.12,440.0,5.4
138,2001,7.0,25.0,1,26.81,168.4,84.84,1008,16802.0,16802.0,2034.9,4620.0,3.64,443.75,5.4
140,2001,9.0,25.0,1,27.04,170.39,84.14,1009,16802.0,16802.0,1719.3,4620.0,3.64,444.0,5.4
142,2001,11.0,24.0,1,26.96,293.29,85.38,1008,16802.0,16802.0,2594.4,4620.0,3.64,458.0,5.4
150,2002,7.0,30.0,1,27.12,136.89,83.96,1009,13395.0,13395.0,1534.7,3447.0,3.89,445.0,2.7
151,2002,8.0,30.0,1,26.94,238.29,82.89,1009,13395.0,13395.0,1313.4,3447.0,3.89,445.0,2.7
152,2002,9.0,30.0,1,26.88,128.8,84.2,1010,13395.0,13395.0,1193.1,3447.0,3.89,445.0,2.7
153,2002,10.0,30.0,1,27.32,167.49,83.38,1009,13395.0,13395.0,1508.2,3447.0,3.89,445.0,2.7
154,2002,11.0,28.0,1,27.2,151.49,84.0,1009,13395.0,13395.0,2575.0,3447.0,3.89,443.0,2.7
155,2002,12.0,27.5,0,27.55,68.1,81.17,1010,13395.0,13395.0,2676.0,3447.0,3.89,445.0,2.7
157,2003,2.0,25.0,0,27.14,45.6,78.4,1009,6622.0,6622.0,2289.5,1792.0,3.7,450.0,2.3
163,2003,8.0,24.5,1,26.83,191.89,85.52,1009,14139.0,14139.0,1566.5,3603.0,3.92,504.0,2.3
164,2003,9.0,25.0,1,26.73,198.19,85.31,1009,14139.0,14139.0,1399.6,3603.0,3.92,500.0,2.3
165,2003,10.0,24.0,1,26.76,334.79,85.69,1009,14139.0,14139.0,1742.4,3603.0,3.92,502.5,2.3
166,2003,11.0,24.0,1,27.34,106.1,83.67,1008,14139.0,14139.0,2525.0,3603.0,3.92,525.0,2.3
167,2003,12.0,24.0,0,26.7,231.49,82.0,1009,14139.0,14139.0,2607.0,3603.0,3.92,535.0,2.3
168,2004,1.0,25.33,0,26.79,74.4,83.45,1009,8675.0,8675.0,2362.1,2116.0,4.1,567.5,4.8
175,2004,8.0,29.0,1,26.92,114.2,84.5,1009,12856.0,12856.0,1340.8,3285.0,3.91,725.0,4.8
176,2004,9.0,26.75,1,26.52,222.7,85.18,1010,12856.0,12856.0,1189.1,3285.0,3.91,742.5,4.8
177,2004,10.0,25.4,1,26.76,168.79,85.05,1009,12856.0,12856.0,1559.5,3285.0,3.91,750.0,4.8
178,2004,11.0,26.0,1,27.38,77.6,82.36,1008,12856.0,12856.0,2289.8,3285.0,3.91,740.0,4.8
179,2004,12.0,26.0,0,27.18,144.69,83.31,1008,12856.0,12856.0,2404.5,3285.0,3.91,740.0,4.8
188,2005,9.0,28.0,1,27.16,209.89,84.32,1009,15486.0,15486.0,1308.0,3742.0,4.14,820.0,6.6
189,2005,10.0,26.8,1,27.0,235.09,84.99,1009,15486.0,15486.0,1592.7,3742.0,4.14,820.0,6.6
190,2005,11.0,27.0,1,26.9,346.59,84.9,1008,15486.0,15486.0,2255.3,3742.0,4.14,817.5,6.6
191,2005,12.0,27.0,0,26.52,370.19,86.03,1008,15486.0,15486.0,2406.2,3742.0,4.14,804.0,6.6
192,2006,1.0,27.5,0,27.05,92.49,82.34,1008,10692.0,10692.0,2094.3,2443.0,4.38,795.0,5.5
193,2006,2.0,28.0,0,27.11,159.19,82.8,1009,10692.0,10692.0,1885.9,2443.0,4.38,790.0,5.5
194,2006,3.0,27.0,0,27.08,139.79,82.93,1008,10692.0,10692.0,1719.9,2443.0,4.38,785.0,5.5
195,2006,4.0,27.6,0,27.54,124.19,81.86,1009,10692.0,10692.0,2192.9,2443.0,4.38,780.0,5.5
196,2006,5.0,28.0,0,27.08,273.89,85.01,1009,10692.0,10692.0,2422.5,2443.0,4.38,777.5,5.5
197,2006,6.0,30.5,1,26.76,278.09,85.35,1009,10692.0,10692.0,2217.3,2443.0,4.38,778.0,5.5
198,2006,7.0,32.0,1,27.28,121.69,84.02,1009,13263.0,13263.0,1960.1,3238.0,4.1,780.0,5.5
199,2006,8.0,30.67,1,26.75,201.6,85.18,1009,13263.0,13263.0,1754.2,3238.0,4.1,776.0,5.5
200,2006,9.0,30.0,1,26.56,237.69,85.86,1009,13263.0,13263.0,1649.5,3238.0,4.1,780.0,5.5
201,2006,10.0,30.0,1,26.64,270.69,85.79,1010,13263.0,13263.0,1825.3,3238.0,4.1,780.0,5.5
202,2006,11.0,30.0,1,27.38,139.99,82.95,1009,13263.0,13263.0,2435.2,3238.0,4.1,780.0,5.5
203,2006,12.0,30.0,0,27.41,121.1,83.85,1008,13263.0,13263.0,2580.4,3238.0,4.1,780.0,5.5
204,2007,1.0,30.0,0,26.96,226.39,83.67,1009,11289.0,11289.0,2253.1,2695.0,4.19,780.0,2.9
205,2007,2.0,30.0,0,27.2,80.19,79.89,1009,11289.0,11289.0,1841.3,2695.0,4.19,765.0,2.9
206,2007,3.0,32.0,0,27.26,121.2,80.87,1009,11289.0,11289.0,1588.6,2695.0,4.19,766.0,2.9
207,2007,4.0,32.0,0,27.65,156.29,82.05,1009,11289.0,11289.0,1654.5,2695.0,4.19,800.0,2.9
208,2007,5.0,31.5,0,27.69,174.19,83.2,1009,11289.0,11289.0,1893.5,2695.0,4.19,810.0,2.9
209,2007,6.0,30.0,1,27.08,335.29,85.64,1007,11289.0,11289.0,1629.1,2695.0,4.19,842.0,2.9
210,2007,7.0,30.0,1,26.73,266.29,85.96,1008,14615.0,14615.0,1529.1,3677.0,3.97,850.0,2.9
211,2007,8.0,30.0,1,26.74,225.29,84.95,1008,14615.0,14615.0,1354.6,3677.0,3.97,850.0,2.9
212,2007,9.0,30.0,1,26.77,325.1,85.89,1008,14615.0,14615.0,1135.8,3677.0,3.97,850.0,2.9
213,2007,10.0,30.0,1,26.92,280.6,85.34,1008,14615.0,14615.0,1375.1,3677.0,3.97,850.0,2.9
